Pos,Intensity
1,25.25
2,25.375
3,25.4
4,25.292
5,25.375
6,28.778
7,53.479
8,95.5
9,124.339
10,147.721
11,165.203
12,184.562
13,211.967
14,243.557
15,248.25
16,249.562
17,249.026
18,249.05
19,250.933
20,248.798
21,250.764
22,249.066
23,248.636
24,250.072
25,249.429
26,250.489
27,249.317
28,249.53
29,250.526
30,249.83
31,250.88
32,250.01
33,250.519
34,250.829
35,250.159
36,251.052
37,250.456
38,248.888
39,240.123
40,228.568
41,217.761
42,207.439
43,198.597
44,189.308
45,181.246
46,174.169
47,167.11
48,161.106
49,155.388
50,150.896
51,145.994
52,141.285
53,137.125
54,133.185
55,129.987
56,126.532
57,123.547
58,120.703
59,117.649
60,114.605
61,111.652
62,109.066
63,106.723
64,104.613
65,102.794
66,100.927
67,99.245
68,97.044
69,95.113
70,93.518
71,91.935
72,90.477
73,88.728
74,87.56
75,86.216
76,84.91
77,83.685
78,82.446
79,81.308
80,80.181
81,79.316
82,78.328
83,77.264
84,76.453
85,75.321
86,74.428
87,73.509
88,72.607
89,71.995
90,71.013
91,70.351
92,69.534
93,68.822
94,68.206
95,67.403
96,66.94
97,66.267
98,65.732
99,65.199
100,64.525
101,64.196
102,63.64
103,63.255
104,62.887
105,62.492
106,62.188
107,61.723
108,61.563
109,61.194
110,60.887
111,60.657
112,60.257
113,60.045
114,59.727
115,59.539
116,59.264
117,58.94
118,58.799
119,58.484
120,58.255
121,58.064
122,57.872
123,57.85
124,57.58
125,57.582
126,57.458
127,57.273
128,57.197
129,57.008
130,56.97
131,56.777
132,56.662
133,56.627
134,56.425
135,56.388
136,56.264
137,56.119
138,56.08
139,55.912
140,55.848
141,55.623
142,55.497
143,55.271
144,55.057
145,54.882
146,54.51
147,54.326
148,54.117
149,53.823
150,53.623
151,53.333
152,53.155
153,52.811
154,52.548
155,52.282
156,51.966
157,51.791
158,51.453
159,51.177
160,50.797
161,50.377
162,50.023
163,49.65
164,49.363
165,49.035
166,48.621
167,48.221
168,47.76
169,47.381
170,46.977
171,46.492
172,46.162
173,45.769
174,45.524
175,45.25
176,45.036
177,44.756
178,44.423
179,44.135
180,43.759
181,43.429
182,43.156
183,42.804
184,42.533
185,42.244
186,42.012
187,41.752
188,41.546
189,41.375
190,41.222
191,41.103
192,40.94
193,40.87
194,40.753
195,40.601
196,40.521
197,40.391
198,40.353
199,40.239
200,40.141
201,40.065
202,39.948
203,39.884
204,39.747
205,39.651
206,39.549
207,39.455
208,39.396
209,39.249
210,39.139
211,39.046
212,38.923
213,38.852
214,38.737
215,38.625
216,38.519
217,38.44
218,38.265
219,38.138
220,38.012
221,37.913
222,37.794
223,37.715
224,37.595
225,37.539
226,37.41
227,37.297
228,37.202
229,37.108
230,37.009
231,36.946
232,36.861
233,36.775
234,36.636
235,36.544
236,36.407
237,36.31
238,36.256
239,36.173
240,36.092
241,36.009
242,35.981
243,35.894
244,35.859
245,35.82
246,35.748
247,35.745
248,35.667
249,35.595
250,35.595
251,35.534
252,35.532
253,35.499
254,35.453
255,35.387
256,35.346
257,35.337
258,35.228
259,35.173
260,35.095
261,35.065
262,35.01
263,34.937
264,34.868
265,34.829
266,34.787
267,34.739
268,34.685
269,34.638
270,34.598